ID,trksegID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Temperature,Depth,wtemp,hr,cad
224,1,51.91266677,4.473626744,-6.85,2015-11-26T08:45:44Z,,,,,,,,,,,,,,,,,,,,
225,1,51.9126734,4.473632192,-6.85,2015-11-26T08:45:46Z,,,,,,,,,,,,,,,,,,,,
226,1,51.9126796,4.473636718,-6.86,2015-11-26T08:45:47Z,,,,,,,,,,,,,,,,,,,,
227,1,51.91268672,4.473642334,-6.87,2015-11-26T08:45:48Z,,,,,,,,,,,,,,,,,,,,
228,1,51.91269142,4.473644765,-6.87,2015-11-26T08:45:49Z,,,,,,,,,,,,,,,,,,,,
229,1,51.9126915,4.473643424,-6.86,2015-11-26T08:45:50Z,,,,,,,,,,,,,,,,,,,,
230,1,51.91268991,4.473642921,-6.85,2015-11-26T08:45:51Z,,,,,,,,,,,,,,,,,,,,
231,1,51.91268731,4.473641999,-6.85,2015-11-26T08:45:52Z,,,,,,,,,,,,,,,,,,,,
232,1,51.9126853,4.473642418,-6.85,2015-11-26T08:45:53Z,,,,,,,,,,,,,,,,,,,,
233,1,51.91268605,4.473643005,-6.86,2015-11-26T08:45:54Z,,,,,,,,,,,,,,,,,,,,
234,1,51.91268664,4.473643675,-6.94,2015-11-26T08:45:55Z,,,,,,,,,,,,,,,,,,,,
235,1,51.9126822,4.473640909,-6.97,2015-11-26T08:45:56Z,,,,,,,,,,,,,,,,,,,,
236,1,51.91267767,4.473633114,-7,2015-11-26T08:45:57Z,,,,,,,,,,,,,,,,,,,,
237,1,51.91267289,4.473619955,-7.02,2015-11-26T08:45:58Z,,,,,,,,,,,,,,,,,,,,
238,1,51.91266661,4.473604281,-7.04,2015-11-26T08:45:59Z,,,,,,,,,,,,,,,,,,,,
239,1,51.91265948,4.473584667,-7.04,2015-11-26T08:46:00Z,,,,,,,,,,,,,,,,,,,,
240,1,51.91265278,4.473564802,-7.02,2015-11-26T08:46:01Z,,,,,,,,,,,,,,,,,,,,
241,1,51.91264708,4.473544853,-7.01,2015-11-26T08:46:02Z,,,,,,,,,,,,,,,,,,,,
242,1,51.91264129,4.473523898,-6.99,2015-11-26T08:46:03Z,,,,,,,,,,,,,,,,,,,,
243,1,51.91263434,4.473501518,-6.97,2015-11-26T08:46:04Z,,,,,,,,,,,,,,,,,,,,
244,1,51.91262864,4.473478636,-6.96,2015-11-26T08:46:05Z,,,,,,,,,,,,,,,,,,,,
245,1,51.91262193,4.47345525,-6.94,2015-11-26T08:46:06Z,,,,,,,,,,,,,,,,,,,,
246,1,51.91261673,4.473432619,-6.94,2015-11-26T08:46:07Z,,,,,,,,,,,,,,,,,,,,
247,1,51.91261271,4.473410156,-6.94,2015-11-26T08:46:08Z,,,,,,,,,,,,,,,,,,,,
248,1,51.91261045,4.473389452,-6.93,2015-11-26T08:46:09Z,,,,,,,,,,,,,,,,,,,,
249,1,51.91260869,4.473372018,-6.92,2015-11-26T08:46:10Z,,,,,,,,,,,,,,,,,,,,
250,1,51.91260399,4.473356344,-6.91,2015-11-26T08:46:11Z,,,,,,,,,,,,,,,,,,,,
251,1,51.91259276,4.473343436,-6.89,2015-11-26T08:46:12Z,,,,,,,,,,,,,,,,,,,,
252,1,51.91257851,4.473336646,-6.89,2015-11-26T08:46:13Z,,,,,,,,,,,,,,,,,,,,
253,1,51.91256518,4.473337485,-6.89,2015-11-26T08:46:14Z,,,,,,,,,,,,,,,,,,,,
254,1,51.91255337,4.473344106,-6.9,2015-11-26T08:46:15Z,,,,,,,,,,,,,,,,,,,,
255,1,51.91254188,4.473351734,-6.92,2015-11-26T08:46:16Z,,,,,,,,,,,,,,,,,,,,
256,1,51.91252923,4.473358188,-6.93,2015-11-26T08:46:17Z,,,,,,,,,,,,,,,,,,,,
257,1,51.91251598,4.473365312,-6.95,2015-11-26T08:46:18Z,,,,,,,,,,,,,,,,,,,,
258,1,51.91250215,4.473373275,-6.97,2015-11-26T08:46:19Z,,,,,,,,,,,,,,,,,,,,
259,1,51.91248631,4.473380316,-6.97,2015-11-26T08:46:20Z,,,,,,,,,,,,,,,,,,,,
260,1,51.91246988,4.473384423,-6.97,2015-11-26T08:46:21Z,,,,,,,,,,,,,,,,,,,,
261,1,51.9124527,4.473387608,-6.96,2015-11-26T08:46:22Z,,,,,,,,,,,,,,,,,,,,
262,1,51.91243602,4.473393811,-6.95,2015-11-26T08:46:23Z,,,,,,,,,,,,,,,,,,,,
263,1,51.91242127,4.473402025,-6.95,2015-11-26T08:46:24Z,,,,,,,,,,,,,,,,,,,,
264,1,51.91240777,4.473409904,-6.94,2015-11-26T08:46:25Z,,,,,,,,,,,,,,,,,,,,
265,1,51.91239419,4.473416274,-6.93,2015-11-26T08:46:26Z,,,,,,,,,,,,,,,,,,,,
266,1,51.91238087,4.473422226,-6.95,2015-11-26T08:46:27Z,,,,,,,,,,,,,,,,,,,,
267,1,51.91236855,4.473428847,-6.96,2015-11-26T08:46:28Z,,,,,,,,,,,,,,,,,,,,
268,1,51.91235564,4.473434296,-6.98,2015-11-26T08:46:29Z,,,,,,,,,,,,,,,,,,,,
